"period"," Total- Assets- Households & non-profit institutions- Amount"," Total- Assets- Privite enterprises- Amount"," Total- Assets- Public enterprises- Amount"," Total- Assets- Government- Amount"," Total- Assets- Central Bank- Amount"," Total- Assets- Other monetary financial institutions- Amount"," Total- Assets- Insurance companies & pension funds- Amount"," Total- Assets- Other financial institutions- Amount"," Total- Assets- All domestic sectors- Amount"," Total- Assets- Rest of the world- Amount"," Total- Liabilities- Households & non-profit institutions- Amount"," Total- Liabilities- Privite enterprises- Amount"," Total- Liabilities- Public enterprises- Amount"," Total- Liabilities- Government- Amount"," Total- Liabilities- Central Bank- Amount"," Total- Liabilities- Other monetary financial institutions- Amount"," Total- Liabilities- Insurance companies & pension funds- Amount"," Total- Liabilities- Other financial institutions- Amount"," Total- Liabilities- All domestic sectors- Amount"," Total- Liabilities- Rest of the world- Amount"
"2000","32,803,062.0","12,000,232.0","454,628.0","6,119,840.0","4,032,610.0","24,462,617.0","2,984,726.0","4,360,824.0","87,218,539.0","2,956,775.0","8,894,923.0","27,730,230.0","4,614,257.0","3,732,611.0","4,062,198.0","23,367,150.0","3,892,004.0","4,195,665.0","80,489,037.0","9,686,277.0"
"2001","35,228,989.0","11,938,859.0","424,051.0","5,889,442.0","4,916,358.0","26,322,548.0","3,643,545.0","5,574,748.0","93,938,540.0","4,373,716.0","8,857,967.0","29,927,295.0","4,288,537.0","4,199,127.0","4,923,739.0","24,590,569.0","4,139,345.0","5,858,339.0","86,784,918.0","11,527,338.0"
"2002","37,286,109.0","13,019,444.0","424,768.0","5,943,748.0","6,508,235.0","26,136,455.0","4,206,963.0","5,792,711.0","99,318,433.0","4,418,654.0","8,689,921.0","28,815,607.0","4,291,346.0","4,386,416.0","6,515,546.0","25,336,618.0","4,888,729.0","7,114,156.0","90,038,340.0","13,698,748.0"
"2003","40,885,037.0","14,805,323.0","411,158.0","5,967,336.0","8,065,170.0","27,901,891.0","5,164,546.0","7,116,088.0","110,316,548.0","6,449,912.0","9,052,467.0","32,263,028.0","4,252,916.0","4,798,124.0","8,070,301.0","27,101,614.0","5,794,761.0","8,486,930.0","99,820,141.0","16,946,320.0"
"2004","43,351,666.0","15,971,995.0","443,463.0","5,860,241.0","8,395,880.0","29,204,115.0","6,038,926.0","7,215,349.0","116,481,635.0","7,479,795.0","9,739,073.0","33,223,523.0","4,373,727.0","4,958,357.0","8,349,100.0","28,930,960.0","6,760,360.0","9,057,631.0","105,392,731.0","18,568,699.0"
"2005","46,321,187.0","18,649,605.0","396,788.0","6,161,452.0","8,954,344.0","30,394,469.0","6,905,159.0","6,379,896.0","124,162,901.0","9,774,593.0","10,500,802.0","36,999,330.0","4,002,910.0","5,009,072.0","8,862,178.0","30,532,765.0","7,762,107.0","8,759,694.0","112,428,857.0","21,508,636.0"
"2006","51,174,214.0","18,218,713.0","379,068.0","6,487,365.0","9,338,013.0","31,395,968.0","7,987,133.0","8,755,130.0","133,735,604.0","11,862,875.0","10,896,617.0","41,802,118.0","3,989,054.0","5,069,720.0","9,245,712.0","32,117,788.0","8,833,351.0","9,173,427.0","121,127,788.0","24,470,691.0"
"2007","54,449,226.0","20,271,477.0","386,822.0","6,887,697.0","9,326,743.0","32,343,152.0","9,232,241.0","8,716,883.0","141,614,240.0","13,090,253.0","11,087,211.0","45,526,183.0","4,114,401.0","4,983,919.0","9,220,118.0","32,762,507.0","9,969,354.0","8,788,801.0","126,452,494.0","28,251,999.0"
"2008","50,865,457.0","18,184,902.0","365,779.0","5,868,080.0","10,215,094.0","34,346,810.0","9,505,792.0","6,843,820.0","136,195,736.0","9,259,043.0","10,886,911.0","34,951,601.0","4,069,457.0","5,375,579.0","10,099,359.0","34,784,006.0","10,371,140.0","7,005,110.0","117,543,165.0","27,911,615.0"
"2009","59,890,641.0","21,299,352.0","380,798.0","6,071,279.0","12,050,069.0","36,375,139.0","11,384,352.0","8,492,365.0","155,943,993.0","12,809,993.0","11,126,389.0","45,613,121.0","4,235,857.0","5,912,717.0","11,873,105.0","36,665,049.0","12,398,118.0","9,041,755.0","136,866,112.0","31,887,874.0"
"2010","63,898,026.0","23,073,053.0","379,647.0","5,642,296.0","12,350,819.0","38,057,682.0","12,801,742.0","9,203,929.0","165,407,193.0","14,561,910.0","11,800,184.0","49,456,222.0","4,299,636.0","6,342,951.0","12,355,247.0","38,576,049.0","13,978,715.0","9,753,566.0","146,562,571.0","33,406,532.0"
"2011","63,818,542.0","23,675,452.0","378,293.0","5,513,583.0","12,554,484.0","40,284,171.0","14,000,724.0","8,976,320.0","169,201,570.0","13,847,357.0","12,023,555.0","46,401,046.0","4,509,438.0","6,559,083.0","12,559,810.0","40,750,434.0","15,269,753.0","8,872,350.0","146,945,469.0","36,103,458.0"
"2012","68,708,522.0","25,430,463.0","387,387.0","5,155,589.0","12,743,055.0","41,816,247.0","15,929,709.0","9,193,457.0","179,364,428.0","14,971,398.0","12,421,704.0","50,049,114.0","4,254,696.0","6,905,689.0","12,748,469.0","42,106,014.0","17,128,180.0","9,671,906.0","155,285,770.0","39,050,056.0"
"2013","73,753,850.0","28,316,595.0","430,061.0","5,069,084.0","13,246,417.0","45,575,211.0","17,972,032.0","10,818,766.0","195,182,016.0","17,893,685.0","13,356,489.0","54,753,547.0","3,938,566.0","7,047,647.0","13,252,429.0","45,628,695.0","19,330,878.0","11,248,197.0","168,556,449.0","44,519,253.0"
"2014","79,036,084.0","30,795,831.0","395,082.0","5,240,332.0","14,212,890.0","48,824,946.0","20,375,249.0","12,164,530.0","211,044,944.0","21,096,715.0","14,120,811.0","59,112,892.0","3,917,205.0","7,173,241.0","14,218,850.0","48,917,006.0","21,724,897.0","12,096,988.0","181,281,891.0","50,859,769.0"
"2015","82,586,410.0","31,849,359.0","375,468.0","5,517,946.0","15,413,142.0","50,944,154.0","22,269,265.0","12,519,738.0","221,475,483.0","20,136,263.0","14,477,818.0","57,705,302.0","3,826,388.0","7,117,399.0","15,419,307.0","51,465,496.0","23,669,355.0","12,792,488.0","186,473,553.0","55,138,193.0"
"2016","86,412,346.0","33,001,862.0","393,445.0","5,809,990.0","15,270,089.0","52,414,072.0","24,518,884.0","13,115,438.0","230,936,127.0","22,735,493.0","14,941,291.0","61,648,603.0","3,820,125.0","7,096,557.0","15,276,234.0","52,808,280.0","26,109,218.0","13,323,404.0","195,023,711.0","58,647,910.0"
"2017","93,150,919.0","34,887,872.0","408,616.0","6,034,630.0","15,075,141.0","54,541,776.0","26,999,148.0","14,338,655.0","245,436,757.0","25,685,640.0","15,610,858.0","68,292,001.0","3,816,726.0","7,076,441.0","15,081,195.0","54,827,256.0","28,944,336.0","14,871,295.0","208,520,108.0","62,602,289.0"