Year,Economic Growth Rate,Per Capita GDP,Value of Exports in Millions of USD,Value of Imports,Index of Labor Productivity - Manufacturing,Minimum Monthly Wage,Average Monthly Earnings of Industry and Service,Average Monthly Earnings of Manufacturing,Average Monthly Working Hours of Industry and Service,Average Monthly Regular Working Hours of Industry and Service
1978,13.56,1606,12755,11047,,2400,,5416,,
1979,8.83,1950,16169,14798,,2400,,6549,,
1980,8.04,2389,19878,19760,,3300,8843,8035,215.1,
1981,7.11,2721,22686,21235,,3300,10677,9556,207.4,
1982,4.8,2700,22297,18923,19.22,3300,11473,10456,208.5,
1983,9.04,2904,25207,20316,20.69,5700,12122,11122,207.3,
1984,10.05,3225,30580,21994,20.64,6150,13410,12153,207.5,
1985,4.81,3315,30819,20141,21.11,6150,13981,12678,203.8,
1986,11.52,4038,39931,24195,22.66,6900,15119,13961,205.3,
1987,12.7,5350,53754,35001,24.17,6900,16497,15335,205.2,
1988,8.02,6369,60784,49713,25.45,8130,18400,16989,202.5,
1989,8.75,7614,66435,52314,27.77,8820,21247,19431,199.5,
1990,5.65,8216,67425,54786,29.87,9750,24315,22014,197,
1991,8.36,9136,76563,63142,32.7,11040,26875,24430,196.7,
1992,8.29,10778,82122,72352,33.91,12365,29436,26942,196.3,
1993,6.8,11251,85957,77393,35.05,13350,31689,28826,196.1,
1994,7.49,12160,94300,85698,36.28,14010,33637,30752,196.5,
1995,6.5,13129,113342,104012,38.98,14880,35355,32494,194.3,
1996,6.18,13650,117581,102922,41,15360,36655,33839,193.4,
1997,6.11,14040,124170,114955,43.29,15840,38435,35408,193.9,
1998,4.21,12840,112595,105230,45.56,15840,39603,36438,190.2,
1999,6.72,13819,123733,111196,48.61,15840,4081,37746,190.2,
2000,6.42,14941,151950,140732,51.46,15840,41831,38922,190.1,
2001,-1.26,13448,126612,109588,52.98,15840,41952,38420,180.4,
2002,5.57,13750,135774,115116,57.53,15840,41533,38444,181.4,
2003,4.12,14120,151345,130249,61.41,15840,42068,39558,181.3,
2004,6.51,15388,183643,171554,64.32,15840,42684,40666,183.5,
2005,5.42,16532,199761,185438,66.62,15840,43162,41868,181.9,
2006,5.62,17026,225904,206442,69.33,15840,43492,42403,180.9,
2007,6.52,17814,248792,223115,74.33,17280,4441,43240,180.4,
2008,0.7,18131,258051,244467,74.24,17280,44418,43297,179.6,
2009,-1.57,16988,205663,177598,75.06,17280,42299,39525,176.7,
2010,10.63,19278,278008,256274,88.89,17280,44646,43152,181.1,
2011,3.8,20939,312923,288062,90.01,17880,45961,44603,178.7,
2012,2.06,21308,30649,277324,89.98,18780,46109,45238,178.4,
2013,2.2,21916,311428,278010,92.2,19047,46174,45448,177.1,
2014,4.02,22668,320092,281850,95.82,19273,47832,47018,177.9,
2015,0.81,22400,285344,237219,95,20008,49024,48713,175.3,
2016,1.51,22592,280321,230568,100,20008,49266,49162,169.6,
2017,3.08,24408,317249,259266,103.53,21009,50480,50678,169.6,
2018,2.63,25026,335909,286333,105.97,22000,52407,52948,169.4,